0,1,2,3,4,5,6,7
District/ Division,,2021-22,,2022-23,,2023-24,
,,"Area 
(acre)","Production 
(M.Ton)","Area 
(acre)","Production 
(M.Ton)","Area 
(acre)","Production 
(M.Ton)"
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
4,Khulna Division,0.00,0.00,0.00,0.00,0.00,0.00
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,,0.00,0.00,0.00,0.00,0.00,0.00
45,Bogura,0.00,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0.00,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00
6,Rajshahi Division,0.00,0.00,0.00,0.00,0.00,0.00
53,Dinajpur,0.00,0.00,0.00,0.00,0.00,0.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00
58,Panchagar,4784.52,15725.29,5909.00,17180.00,7021.00,16091.00
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,0.00,0.00,0.00,0.00,0.00,0.00
Rangpur Divison,,4784.52,15725.29,5909.00,17180.00,7021.00,16091.00
61,Habiganj,29271.14,17871.43,29495.00,14984.00,29908.00,18072.00
62,Moulvibazar,75837.52,48062.80,76299.00,44677.00,78265.00,49779.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,13320.90,5774.00,12258.00,5459.00,12325.00,5449.00
Sylhet Division,,118429.56,71708.23,118052.00,65120.00,120498.00,3759.11
BANGLADESH,,"139973.11 
(Economic)",98146.43,"141355.00 
(Economic)",93208.00,"145182.00 
(Economic)",100660.00
